model,accuracy,
RandomForestClassifier,0.339744,
RandomForestClassifier,0.391026,
RandomForestClassifier,0.371795,
RandomForestClassifier,0.384615,
RandomForestClassifier,0.380645,
LinearSVC,0.583333,
LinearSVC,0.423077,
LinearSVC,0.557692,
LinearSVC,0.641026,
LinearSVC,0.593548,
MultinomialNB,0.583333,
MultinomialNB,0.442308,
MultinomialNB,0.538462,
MultinomialNB,0.602564,
MultinomialNB,0.554839,
LogisticRegression,0.608974,
LogisticRegression,0.416667,
LogisticRegression,0.570513,
LogisticRegression,0.621795,
LogisticRegression,0.567742,
RandomForestClassifier,0.339744,
RandomForestClassifier,0.391026,
RandomForestClassifier,0.371795,
RandomForestClassifier,0.384615,
RandomForestClassifier,0.380645,
LinearSVC,0.583333,
LinearSVC,0.423077,
LinearSVC,0.557692,
LinearSVC,0.641026,
LinearSVC,0.593548,
MultinomialNB,0.583333,
MultinomialNB,0.442308,
MultinomialNB,0.538462,
MultinomialNB,0.602564,
MultinomialNB,0.554839,
LogisticRegression,0.608974,
LogisticRegression,0.416667,
LogisticRegression,0.570513,
LogisticRegression,0.621795,
LogisticRegression,0.567742,
XLNet,0.793548,
XLNet,0.658065,
XLNet,0.670968,
XLNet,0.677419,
XLNet,0.76129,
BERT,0.63871,
BERT,0.703226,
BERT,0.651613,
BERT,0.658065,
BERT,0.632258,