models,accuracy,
XLNet,0.664516,
XLNet,0.587097,
XLNet,0.619355,
XLNet,0.619355,
XLNet,0.625806,
RandomForestClassifier,0.474359,
RandomForestClassifier,0.391026,
RandomForestClassifier,0.435897,
RandomForestClassifier,0.429487,
RandomForestClassifier,0.43871,
LinearSVC,0.551282,
LinearSVC,0.448718,
LinearSVC,0.557692,
LinearSVC,0.570513,
LinearSVC,0.516129,
MultinomialNB,0.474359,
MultinomialNB,0.455128,
MultinomialNB,0.544872,
MultinomialNB,0.532051,
MultinomialNB,0.490323,
LogisticRegression,0.5,
LogisticRegression,0.461538,
LogisticRegression,0.525641,
LogisticRegression,0.538462,
LogisticRegression,0.522581,
RandomForestClassifier,0.474359,
RandomForestClassifier,0.391026,
RandomForestClassifier,0.435897,
RandomForestClassifier,0.429487,
RandomForestClassifier,0.43871,
LinearSVC,0.551282,
LinearSVC,0.448718,
LinearSVC,0.557692,
LinearSVC,0.570513,
LinearSVC,0.516129,
MultinomialNB,0.474359,
MultinomialNB,0.455128,
MultinomialNB,0.544872,
MultinomialNB,0.532051,
MultinomialNB,0.490323,
LogisticRegression,0.5,
LogisticRegression,0.461538,
LogisticRegression,0.525641,
LogisticRegression,0.538462,
LogisticRegression,0.522581,
BERT,0.593548,
BERT,0.535484,
BERT,0.619355,
BERT,0.593548,
BERT,0.658065,